# Function/Class/Interface Mapping for Modularization
# Source: IntelligentDistributedComputeService.md
# Target: Modularized Kotlin codebase (compute/ and subfolders)
# Format: [Name] | [Type] | [Recommended Target File] | [Rationale/Notes]

## Top-Level Data Classes, Enums, and Functions
ServiceSearchResult | data class | compute/model/ServiceSearchResult.kt | Core model, used across compute modules
ServiceManifest | data class | compute/model/ServiceManifest.kt | Core model, used across compute modules
ServiceType | enum class | compute/model/ServiceType.kt | Enum for service types
ExecutionProfile | data class | compute/model/ExecutionProfile.kt | Model for execution profile
ServiceMeta | data class | compute/model/ServiceMeta.kt | Metadata for services
ServiceInput | data class | compute/model/ServiceInput.kt | Model for service input
ServiceOutput | data class | compute/model/ServiceOutput.kt | Model for service output
ServiceCapability | enum class | compute/model/ServiceCapability.kt | Enum for capabilities
LibraryEntry | sealed class (+subclasses) | compute/model/LibraryEntry.kt | Sealed class for service entries

## Main Service Class
IntelligentDistributedComputeService | class | compute/IntelligentDistributedComputeService.kt | Main service logic

## Functional Methods (Missing in Modularized Codebase)
registerWithEcosystemListener | function | compute/IntelligentDistributedComputeService.kt | Service registration logic
handleTaskDataAccessUpdate | function | compute/IntelligentDistributedComputeService.kt | Handles data access updates
showFolderPickerDialog | function | compute/ui/DropFolderPicker.kt | UI logic for folder picker
getDropFolderSubfolders | function | compute/storage/DropFolderManager.kt | Storage logic, subfolder listing
pickDestinationFolder | function | compute/ui/DropFolderPicker.kt | UI logic for folder picker

## Inner Classes, Enums, and Data Classes
ComputeTask | sealed class (+subclasses) | compute/model/ComputeTask.kt | Core compute task model
StorageOperation | enum class | compute/model/StorageOperation.kt | Enum for storage operations
OutputSchema | data class | compute/model/OutputSchema.kt | Output schema model
OutputFormat | enum class | compute/model/OutputFormat.kt | Enum for output formats
IntelligentTaskScheduler | inner class | compute/scheduler/IntelligentTaskScheduler.kt | Task scheduling logic

## Methods in IntelligentTaskScheduler
- distributeJob | function | compute/scheduler/IntelligentTaskScheduler.kt | Main job distribution logic
- gatherMeshIntelligence | function | compute/scheduler/IntelligentTaskScheduler.kt | Mesh intelligence gathering
- decomposeJobIntelligently | function | compute/scheduler/IntelligentTaskScheduler.kt | Job decomposition
- decomposeDistributedStorage | function | compute/scheduler/IntelligentTaskScheduler.kt | Storage job decomposition
- decomposeImageProcessing | function | compute/scheduler/IntelligentTaskScheduler.kt | Image processing decomposition
- decomposeDataAnalysis | function | compute/scheduler/IntelligentTaskScheduler.kt | Data analysis decomposition
- decomposeMLPipeline | function | compute/scheduler/IntelligentTaskScheduler.kt | ML pipeline decomposition
- decomposeSensorFusion | function | compute/scheduler/IntelligentTaskScheduler.kt | Sensor fusion decomposition
